epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.1348,1.0948,1.23464,1.48796,0.66084,0.88805,0.78026,0.58492,0.88395,1.08631,1.41326,0.0001667,0.0001667,0.0001667
2,73.4848,0.96606,1.07113,1.4341,0.7537,0.88024,0.77317,0.62723,0.8159,1.4067,1.33643,0.000343139,0.000343139,0.000343139
3,109.505,0.95925,1.05629,1.44744,0.7313,0.68243,0.69225,0.55467,0.81651,1.52468,1.38404,0.000512316,0.000512316,0.000512316
4,145.805,1.11884,1.10819,1.59344,0.61847,0.87821,0.72042,0.49968,0.94809,1.30163,1.50901,0.000674231,0.000674231,0.000674231
5,181.414,0.99229,0.97958,1.40288,0.7994,0.5827,0.61567,0.36408,1.33622,1.65838,2.00387,0.000828886,0.000828886,0.000828886
6,217.137,1.07818,0.98569,1.49045,0.68148,0.63812,0.64249,0.33591,1.19795,1.76068,1.86191,0.000976279,0.000976279,0.000976279
7,252.794,1.07004,1.02732,1.47334,0.63829,0.60424,0.62711,0.32274,1.43842,1.69925,2.09131,0.00111641,0.00111641,0.00111641
8,288.57,1.10666,0.97164,1.49396,0.5721,0.6139,0.6125,0.40757,1.39657,1.50727,1.99989,0.00124928,0.00124928,0.00124928
9,324.158,1.12431,1.07509,1.54621,0.61604,0.71543,0.63463,0.45278,1.29518,1.54126,1.96246,0.00137489,0.00137489,0.00137489
10,361.416,1.10428,1.09762,1.52111,0.38444,0.58974,0.47724,0.29304,1.25063,1.87299,1.96583,0.00136994,0.00136994,0.00136994
11,403.001,1.20535,1.08934,1.60129,0.82054,0.84259,0.79971,0.57265,1.17279,1.53075,1.75419,0.00133693,0.00133693,0.00133693
12,442.074,1.04827,1.03479,1.49635,0.60718,0.59615,0.59807,0.44075,1.01995,1.71692,1.5254,0.00130393,0.00130393,0.00130393
13,481.816,1.16488,1.11014,1.56467,0.75051,0.59615,0.72123,0.46188,1.04484,1.57388,1.56347,0.00127092,0.00127092,0.00127092
14,520.953,1.16888,1.04608,1.58284,0.7626,0.85586,0.7269,0.38492,1.56829,1.71367,2.10423,0.00123791,0.00123791,0.00123791
15,560.099,1.14563,1.03252,1.53812,0.69386,0.88462,0.76805,0.43252,1.49516,1.41151,2.07872,0.00120491,0.00120491,0.00120491
16,596.231,1.10441,1.01049,1.49446,0.64826,0.92308,0.73402,0.50291,1.15898,1.3181,1.77528,0.0011719,0.0011719,0.0011719
17,632.26,1.09439,0.98339,1.49642,0.73318,0.88312,0.80359,0.59598,1.03557,1.2962,1.65004,0.00113889,0.00113889,0.00113889
18,668.231,1.12568,1.04766,1.50937,0.66805,0.73702,0.74934,0.51544,1.13988,1.79957,1.92784,0.00110589,0.00110589,0.00110589
19,704.802,1.05113,1.02193,1.5022,0.64067,0.75998,0.70325,0.46906,1.13036,1.34815,1.80004,0.00107288,0.00107288,0.00107288
20,741.002,0.94902,0.89057,1.39735,0.61097,0.76923,0.6093,0.39583,1.46695,1.53177,2.23571,0.00103987,0.00103987,0.00103987
21,777.401,1.02398,0.94267,1.48064,0.67199,0.71779,0.59883,0.34622,1.36676,1.63837,2.1726,0.00100687,0.00100687,0.00100687
22,813.979,0.98251,0.87949,1.39988,0.58941,0.88462,0.68598,0.43304,1.09185,1.43667,1.66287,0.000973861,0.000973861,0.000973861
23,850.289,1.01763,0.88466,1.45293,0.50901,0.92308,0.65869,0.47623,1.05486,1.55088,1.65552,0.000940855,0.000940855,0.000940855
24,886.384,0.99165,0.87508,1.44889,0.4992,0.58974,0.47493,0.31876,0.96766,1.76046,1.53313,0.000907848,0.000907848,0.000907848
25,922.536,0.92704,0.82958,1.39021,0.47357,0.67308,0.50258,0.32796,0.94176,1.61638,1.45453,0.000874842,0.000874842,0.000874842
26,958.64,0.98677,0.81165,1.39579,0.52493,0.73266,0.65828,0.4609,0.98388,1.24312,1.52047,0.000841835,0.000841835,0.000841835
27,994.695,1.02726,0.81016,1.43115,0.60781,0.76984,0.80494,0.62263,1.02458,1.05026,1.63193,0.000808828,0.000808828,0.000808828
28,1030.82,0.94159,0.82615,1.37393,0.58586,0.71154,0.49964,0.36616,0.94967,1.4809,1.59597,0.000775822,0.000775822,0.000775822
29,1066.89,0.9485,0.8209,1.39316,0.54802,0.67308,0.52402,0.37002,0.94273,1.41011,1.57415,0.000742815,0.000742815,0.000742815
30,1103.09,0.89474,0.8042,1.37621,0.54003,0.55128,0.46596,0.35112,0.97868,1.52066,1.6146,0.000709809,0.000709809,0.000709809
31,1139.17,0.95405,0.78341,1.3771,0.70543,0.66916,0.59748,0.38803,0.95981,1.44819,1.59801,0.000676802,0.000676802,0.000676802
32,1175,0.97526,0.82076,1.44156,0.76275,0.75641,0.68464,0.51573,0.87534,1.22937,1.46286,0.000643795,0.000643795,0.000643795
33,1210.94,0.94948,0.7445,1.38185,0.74581,0.67308,0.64428,0.46332,0.89393,1.23232,1.48328,0.000610789,0.000610789,0.000610789
34,1246.79,0.90808,0.79473,1.37382,0.69111,0.75641,0.64335,0.47916,0.79701,1.35851,1.34693,0.000577782,0.000577782,0.000577782
35,1282.78,0.86348,0.73496,1.33193,0.76977,0.75641,0.64135,0.47698,0.81874,1.33301,1.41269,0.000544776,0.000544776,0.000544776
36,1319.08,0.86728,0.75539,1.3459,0.84092,0.88462,0.77385,0.58507,0.91948,1.26233,1.56721,0.000511769,0.000511769,0.000511769
37,1355.48,0.87701,0.79701,1.34996,0.8028,0.84615,0.75629,0.57249,0.95882,1.3625,1.53831,0.000478762,0.000478762,0.000478762
38,1391.4,0.89758,0.71534,1.35078,0.74659,0.91496,0.83226,0.63839,0.82868,1.10328,1.36784,0.000445756,0.000445756,0.000445756
39,1427.27,0.85034,0.70984,1.31194,0.81443,0.79487,0.69189,0.5139,0.78248,1.17673,1.31107,0.000412749,0.000412749,0.000412749
40,1463.23,0.89083,0.74257,1.33941,0.7781,0.75641,0.71996,0.52322,0.85059,1.02525,1.39284,0.000379743,0.000379743,0.000379743
41,1498.78,0.94655,1.09864,1.61424,0.78523,0.88462,0.8145,0.60179,0.87569,0.88488,1.50165,0.000346736,0.000346736,0.000346736
42,1534.36,0.81517,0.88604,1.49052,0.78161,0.87498,0.75712,0.55137,1.02799,1.0317,1.69051,0.000313729,0.000313729,0.000313729
43,1569.89,0.83895,0.7248,1.49647,0.80489,0.88462,0.80514,0.58778,0.97542,0.89199,1.63882,0.000280723,0.000280723,0.000280723
44,1605.31,0.85164,0.74879,1.55056,0.76317,0.91479,0.79708,0.56624,0.94209,0.95659,1.59166,0.000247716,0.000247716,0.000247716
45,1640.78,0.78835,0.68734,1.44924,0.78728,0.7648,0.77164,0.54284,0.86212,1.00214,1.48385,0.00021471,0.00021471,0.00021471
46,1676.38,0.72207,0.64537,1.37481,0.78255,0.75641,0.72531,0.53229,0.82994,1.00299,1.40112,0.000181703,0.000181703,0.000181703
47,1712.06,0.79191,0.62557,1.49276,0.78526,0.75946,0.72607,0.53907,0.82406,1.00888,1.38616,0.000148696,0.000148696,0.000148696
48,1747.72,0.80102,0.66878,1.47677,0.8048,0.75454,0.74904,0.53871,0.83917,1.01486,1.41023,0.00011569,0.00011569,0.00011569
49,1783.32,0.73764,0.57756,1.38485,0.69309,0.87506,0.77488,0.56428,0.83438,1.01297,1.41549,8.26832e-05,8.26832e-05,8.26832e-05
50,1818.91,0.77765,0.56496,1.40311,0.74361,0.92308,0.77322,0.58721,0.83276,1.01615,1.41689,4.96766e-05,4.96766e-05,4.96766e-05
